[*] EdgeShield Sensor Simulator started
[+] iot/gateway/sensor-02/telemetry -> value=55.72 rssi=-83 fcnt=22
[+] iot/gateway/sensor-03/telemetry -> value=1012.91 rssi=-74 fcnt=22
[+] iot/gateway/sensor-01/telemetry -> value=24.87 rssi=-70 fcnt=23
[+] iot/gateway/sensor-02/telemetry -> value=52.09 rssi=-89 fcnt=23
[+] iot/gateway/sensor-03/telemetry -> value=1011.46 rssi=-75 fcnt=23
[+] iot/gateway/sensor-01/telemetry -> value=20.31 rssi=-72 fcnt=24
[+] iot/gateway/sensor-02/telemetry -> value=54.49 rssi=-71 fcnt=24
[+] iot/gateway/sensor-03/telemetry -> value=1010.85 rssi=-71 fcnt=24
[+] iot/gateway/sensor-01/telemetry -> value=23.35 rssi=-76 fcnt=25
[+] iot/gateway/sensor-02/telemetry -> value=55.04 rssi=-67 fcnt=25
[+] iot/gateway/sensor-03/telemetry -> value=1013.98 rssi=-94 fcnt=25
[+] iot/gateway/sensor-01/telemetry -> value=21.83 rssi=-81 fcnt=26
[+] iot/gateway/sensor-02/telemetry -> value=51.17 rssi=-75 fcnt=26
[+] iot/gateway/sensor-03/telemetry -> value=1013.27 rssi=-90 fcnt=26
[+] iot/gateway/sensor-01/telemetry -> value=24.26 rssi=-62 fcnt=27
[+] iot/gateway/sensor-02/telemetry -> value=51.28 rssi=-78 fcnt=27
[+] iot/gateway/sensor-03/telemetry -> value=1012.17 rssi=-78 fcnt=27
[+] iot/gateway/sensor-01/telemetry -> value=23.76 rssi=-61 fcnt=28
[+] iot/gateway/sensor-02/telemetry -> value=59.09 rssi=-74 fcnt=28
[+] iot/gateway/sensor-03/telemetry -> value=1013.16 rssi=-64 fcnt=28
[+] iot/gateway/sensor-01/telemetry -> value=25.7 rssi=-86 fcnt=29
[+] iot/gateway/sensor-02/telemetry -> value=58.51 rssi=-95 fcnt=29
[+] iot/gateway/sensor-03/telemetry -> value=1015.57 rssi=-86 fcnt=29
[+] iot/gateway/sensor-01/telemetry -> value=24.13 rssi=-94 fcnt=30
[+] iot/gateway/sensor-02/telemetry -> value=55.73 rssi=-76 fcnt=30
[+] iot/gateway/sensor-03/telemetry -> value=1014.51 rssi=-81 fcnt=30
[+] iot/gateway/sensor-01/telemetry -> value=23.23 rssi=-75 fcnt=31
[+] iot/gateway/sensor-02/telemetry -> value=56.34 rssi=-83 fcnt=31
[+] iot/gateway/sensor-03/telemetry -> value=1012.53 rssi=-86 fcnt=31
[+] iot/gateway/sensor-01/telemetry -> value=22.25 rssi=-70 fcnt=32
[+] iot/gateway/sensor-02/telemetry -> value=57.56 rssi=-92 fcnt=32
[+] iot/gateway/sensor-03/telemetry -> value=1013.34 rssi=-90 fcnt=32
[+] iot/gateway/sensor-01/telemetry -> value=22.73 rssi=-62 fcnt=33
[+] iot/gateway/sensor-02/telemetry -> value=52.88 rssi=-73 fcnt=33
[+] iot/gateway/sensor-03/telemetry -> value=1013.74 rssi=-62 fcnt=33
[+] iot/gateway/sensor-01/telemetry -> value=23.37 rssi=-88 fcnt=34
[+] iot/gateway/sensor-02/telemetry -> value=57.6 rssi=-62 fcnt=34
[+] iot/gateway/sensor-03/telemetry -> value=1011.91 rssi=-76 fcnt=34
[+] iot/gateway/sensor-01/telemetry -> value=20.1 rssi=-64 fcnt=35
[+] iot/gateway/sensor-02/telemetry -> value=52.51 rssi=-72 fcnt=35
[+] iot/gateway/sensor-03/telemetry -> value=1011.64 rssi=-94 fcnt=35
[+] iot/gateway/sensor-01/telemetry -> value=23.92 rssi=-65 fcnt=36
[+] iot/gateway/sensor-02/telemetry -> value=53.23 rssi=-95 fcnt=36
[+] iot/gateway/sensor-03/telemetry -> value=1010.47 rssi=-75 fcnt=36
[+] iot/gateway/sensor-01/telemetry -> value=23.16 rssi=-68 fcnt=37
[+] iot/gateway/sensor-02/telemetry -> value=50.35 rssi=-76 fcnt=37
[+] iot/gateway/sensor-03/telemetry -> value=1009.08 rssi=-93 fcnt=37
[+] iot/gateway/sensor-01/telemetry -> value=23.6 rssi=-68 fcnt=38
[+] iot/gateway/sensor-02/telemetry -> value=57.19 rssi=-63 fcnt=38
[+] iot/gateway/sensor-03/telemetry -> value=1013.03 rssi=-72 fcnt=38
[+] iot/gateway/sensor-01/telemetry -> value=22.37 rssi=-76 fcnt=39
[+] iot/gateway/sensor-02/telemetry -> value=56.99 rssi=-86 fcnt=39
[+] iot/gateway/sensor-03/telemetry -> value=1012.32 rssi=-78 fcnt=39
[+] iot/gateway/sensor-01/telemetry -> value=19.94 rssi=-94 fcnt=40
[+] iot/gateway/sensor-02/telemetry -> value=57.33 rssi=-78 fcnt=40
[+] iot/gateway/sensor-03/telemetry -> value=1013.2 rssi=-87 fcnt=40
[+] iot/gateway/sensor-01/telemetry -> value=24.41 rssi=-74 fcnt=41
[+] iot/gateway/sensor-02/telemetry -> value=53.54 rssi=-86 fcnt=41
[+] iot/gateway/sensor-03/telemetry -> value=1016.78 rssi=-78 fcnt=41
[+] iot/gateway/sensor-01/telemetry -> value=24.42 rssi=-66 fcnt=42
[+] iot/gateway/sensor-02/telemetry -> value=53.35 rssi=-72 fcnt=42
[+] iot/gateway/sensor-03/telemetry -> value=1012.77 rssi=-64 fcnt=42
[+] iot/gateway/sensor-01/telemetry -> value=21.49 rssi=-93 fcnt=43
[+] iot/gateway/sensor-02/telemetry -> value=52.39 rssi=-70 fcnt=43
[+] iot/gateway/sensor-03/telemetry -> value=1012.84 rssi=-80 fcnt=43
[+] iot/gateway/sensor-01/telemetry -> value=22.57 rssi=-64 fcnt=44
[+] iot/gateway/sensor-02/telemetry -> value=57.22 rssi=-75 fcnt=44
[+] iot/gateway/sensor-03/telemetry -> value=1015.78 rssi=-77 fcnt=44
[+] iot/gateway/sensor-01/telemetry -> value=22.81 rssi=-73 fcnt=45
[+] iot/gateway/sensor-02/telemetry -> value=53.69 rssi=-77 fcnt=45
[+] iot/gateway/sensor-03/telemetry -> value=1013.07 rssi=-89 fcnt=45
[+] iot/gateway/sensor-01/telemetry -> value=23.33 rssi=-63 fcnt=46
[+] iot/gateway/sensor-02/telemetry -> value=54.1 rssi=-69 fcnt=46
[+] iot/gateway/sensor-03/telemetry -> value=1015.97 rssi=-86 fcnt=46
[+] iot/gateway/sensor-01/telemetry -> value=23.61 rssi=-65 fcnt=47
[+] iot/gateway/sensor-02/telemetry -> value=57.46 rssi=-83 fcnt=47
[+] iot/gateway/sensor-03/telemetry -> value=1013.3 rssi=-86 fcnt=47
[+] iot/gateway/sensor-01/telemetry -> value=22.2 rssi=-91 fcnt=48
[+] iot/gateway/sensor-02/telemetry -> value=54.93 rssi=-70 fcnt=48
[+] iot/gateway/sensor-03/telemetry -> value=1014.5 rssi=-91 fcnt=48
[+] iot/gateway/sensor-01/telemetry -> value=22.79 rssi=-79 fcnt=49
[+] iot/gateway/sensor-02/telemetry -> value=56.83 rssi=-61 fcnt=49
[+] iot/gateway/sensor-03/telemetry -> value=1012.35 rssi=-76 fcnt=49
[+] iot/gateway/sensor-01/telemetry -> value=25.39 rssi=-60 fcnt=50
[+] iot/gateway/sensor-02/telemetry -> value=54.58 rssi=-92 fcnt=50
[+] iot/gateway/sensor-03/telemetry -> value=1014.29 rssi=-80 fcnt=50
[+] iot/gateway/sensor-01/telemetry -> value=22.39 rssi=-82 fcnt=51
[+] iot/gateway/sensor-02/telemetry -> value=59.94 rssi=-89 fcnt=51
[+] iot/gateway/sensor-03/telemetry -> value=1012.6 rssi=-90 fcnt=51
[+] iot/gateway/sensor-01/telemetry -> value=22.29 rssi=-81 fcnt=52
[+] iot/gateway/sensor-02/telemetry -> value=52.87 rssi=-64 fcnt=52
[+] iot/gateway/sensor-03/telemetry -> value=1011.6 rssi=-79 fcnt=52
[+] iot/gateway/sensor-01/telemetry -> value=21.92 rssi=-86 fcnt=53
[+] iot/gateway/sensor-02/telemetry -> value=61.09 rssi=-84 fcnt=53
[+] iot/gateway/sensor-03/telemetry -> value=1012.73 rssi=-73 fcnt=53
[+] iot/gateway/sensor-01/telemetry -> value=21.53 rssi=-73 fcnt=54
[+] iot/gateway/sensor-02/telemetry -> value=47.98 rssi=-81 fcnt=54
[+] iot/gateway/sensor-03/telemetry -> value=1012.38 rssi=-65 fcnt=54
[+] iot/gateway/sensor-01/telemetry -> value=23.84 rssi=-85 fcnt=55
[+] iot/gateway/sensor-02/telemetry -> value=52.52 rssi=-81 fcnt=55
[+] iot/gateway/sensor-03/telemetry -> value=1013.66 rssi=-72 fcnt=55
[+] iot/gateway/sensor-01/telemetry -> value=23.35 rssi=-94 fcnt=56
[+] iot/gateway/sensor-02/telemetry -> value=53.53 rssi=-76 fcnt=56
[+] iot/gateway/sensor-03/telemetry -> value=1012.96 rssi=-63 fcnt=56
[+] iot/gateway/sensor-01/telemetry -> value=21.89 rssi=-67 fcnt=57
[+] iot/gateway/sensor-02/telemetry -> value=55.77 rssi=-78 fcnt=57
[+] iot/gateway/sensor-03/telemetry -> value=1014.86 rssi=-70 fcnt=57
[+] iot/gateway/sensor-01/telemetry -> value=23.81 rssi=-86 fcnt=58
[+] iot/gateway/sensor-02/telemetry -> value=47.63 rssi=-84 fcnt=58
[+] iot/gateway/sensor-03/telemetry -> value=1015.73 rssi=-87 fcnt=58
[+] iot/gateway/sensor-01/telemetry -> value=21.9 rssi=-78 fcnt=59
[+] iot/gateway/sensor-02/telemetry -> value=51.45 rssi=-90 fcnt=59
[+] iot/gateway/sensor-03/telemetry -> value=1011.16 rssi=-68 fcnt=59
[+] iot/gateway/sensor-01/telemetry -> value=21.44 rssi=-78 fcnt=60
[+] iot/gateway/sensor-02/telemetry -> value=51.85 rssi=-68 fcnt=60
[+] iot/gateway/sensor-03/telemetry -> value=1009.89 rssi=-76 fcnt=60
[+] iot/gateway/sensor-01/telemetry -> value=21.53 rssi=-81 fcnt=61
[+] iot/gateway/sensor-02/telemetry -> value=56.64 rssi=-92 fcnt=61
[+] iot/gateway/sensor-03/telemetry -> value=1012.52 rssi=-93 fcnt=61
[+] iot/gateway/sensor-01/telemetry -> value=22.15 rssi=-78 fcnt=62
[+] iot/gateway/sensor-02/telemetry -> value=54.3 rssi=-87 fcnt=62
[+] iot/gateway/sensor-03/telemetry -> value=1011.37 rssi=-70 fcnt=62
[+] iot/gateway/sensor-01/telemetry -> value=23.63 rssi=-70 fcnt=63
[+] iot/gateway/sensor-02/telemetry -> value=51.82 rssi=-78 fcnt=63
[+] iot/gateway/sensor-03/telemetry -> value=1010.65 rssi=-91 fcnt=63
[+] iot/gateway/sensor-01/telemetry -> value=24.44 rssi=-94 fcnt=64
[+] iot/gateway/sensor-02/telemetry -> value=56.31 rssi=-64 fcnt=64
[+] iot/gateway/sensor-03/telemetry -> value=1013.3 rssi=-61 fcnt=64
[+] iot/gateway/sensor-01/telemetry -> value=23.71 rssi=-60 fcnt=65
[+] iot/gateway/sensor-02/telemetry -> value=55.73 rssi=-71 fcnt=65
[+] iot/gateway/sensor-03/telemetry -> value=1010.62 rssi=-76 fcnt=65
[+] iot/gateway/sensor-01/telemetry -> value=22.18 rssi=-82 fcnt=66
[+] iot/gateway/sensor-02/telemetry -> value=58.5 rssi=-72 fcnt=66
[+] iot/gateway/sensor-03/telemetry -> value=1010.93 rssi=-79 fcnt=66
[+] iot/gateway/sensor-01/telemetry -> value=22.4 rssi=-81 fcnt=67
[+] iot/gateway/sensor-02/telemetry -> value=53.16 rssi=-83 fcnt=67
[+] iot/gateway/sensor-03/telemetry -> value=1012.55 rssi=-74 fcnt=67
[+] iot/gateway/sensor-01/telemetry -> value=22.57 rssi=-67 fcnt=68
[+] iot/gateway/sensor-02/telemetry -> value=56.36 rssi=-87 fcnt=68
[+] iot/gateway/sensor-03/telemetry -> value=1016.52 rssi=-62 fcnt=68
[+] iot/gateway/sensor-01/telemetry -> value=22.09 rssi=-79 fcnt=69
[+] iot/gateway/sensor-02/telemetry -> value=56.09 rssi=-72 fcnt=69
[+] iot/gateway/sensor-03/telemetry -> value=1013.87 rssi=-82 fcnt=69
[+] iot/gateway/sensor-01/telemetry -> value=20.61 rssi=-90 fcnt=70
[+] iot/gateway/sensor-02/telemetry -> value=58.83 rssi=-95 fcnt=70
[+] iot/gateway/sensor-03/telemetry -> value=1010.32 rssi=-60 fcnt=70
[+] iot/gateway/sensor-01/telemetry -> value=20.3 rssi=-67 fcnt=71
[+] iot/gateway/sensor-02/telemetry -> value=52.63 rssi=-66 fcnt=71
[+] iot/gateway/sensor-03/telemetry -> value=1011.52 rssi=-65 fcnt=71
[+] iot/gateway/sensor-01/telemetry -> value=20.41 rssi=-63 fcnt=72
[+] iot/gateway/sensor-02/telemetry -> value=57.04 rssi=-82 fcnt=72
[+] iot/gateway/sensor-03/telemetry -> value=1013.43 rssi=-62 fcnt=72
[+] iot/gateway/sensor-01/telemetry -> value=20.48 rssi=-92 fcnt=73
[+] iot/gateway/sensor-02/telemetry -> value=56.98 rssi=-71 fcnt=73
[+] iot/gateway/sensor-03/telemetry -> value=1014.62 rssi=-92 fcnt=73
[+] iot/gateway/sensor-01/telemetry -> value=23.38 rssi=-94 fcnt=74
[+] iot/gateway/sensor-02/telemetry -> value=54.53 rssi=-88 fcnt=74
[+] iot/gateway/sensor-03/telemetry -> value=1013.93 rssi=-88 fcnt=74
[+] iot/gateway/sensor-01/telemetry -> value=24.46 rssi=-62 fcnt=75
[+] iot/gateway/sensor-02/telemetry -> value=57.26 rssi=-67 fcnt=75
[+] iot/gateway/sensor-03/telemetry -> value=1010.56 rssi=-66 fcnt=75
[+] iot/gateway/sensor-01/telemetry -> value=22.64 rssi=-61 fcnt=76
[+] iot/gateway/sensor-02/telemetry -> value=57.37 rssi=-82 fcnt=76
[+] iot/gateway/sensor-03/telemetry -> value=1006.94 rssi=-79 fcnt=76
[+] iot/gateway/sensor-01/telemetry -> value=21.48 rssi=-71 fcnt=77
[+] iot/gateway/sensor-02/telemetry -> value=57.72 rssi=-68 fcnt=77
[+] iot/gateway/sensor-03/telemetry -> value=1012.88 rssi=-84 fcnt=77
[+] iot/gateway/sensor-01/telemetry -> value=23.32 rssi=-95 fcnt=78
[+] iot/gateway/sensor-02/telemetry -> value=54.7 rssi=-89 fcnt=78
[+] iot/gateway/sensor-03/telemetry -> value=1012.29 rssi=-75 fcnt=78
[+] iot/gateway/sensor-01/telemetry -> value=21.83 rssi=-79 fcnt=79
[+] iot/gateway/sensor-02/telemetry -> value=55.42 rssi=-93 fcnt=79
[+] iot/gateway/sensor-03/telemetry -> value=1014.05 rssi=-90 fcnt=79
[+] iot/gateway/sensor-01/telemetry -> value=23.3 rssi=-73 fcnt=80
[+] iot/gateway/sensor-02/telemetry -> value=56.68 rssi=-95 fcnt=80
[+] iot/gateway/sensor-03/telemetry -> value=1015.51 rssi=-63 fcnt=80
[+] iot/gateway/sensor-01/telemetry -> value=22.82 rssi=-67 fcnt=81
[+] iot/gateway/sensor-02/telemetry -> value=55.52 rssi=-61 fcnt=81
[+] iot/gateway/sensor-03/telemetry -> value=1007.86 rssi=-94 fcnt=81
[+] iot/gateway/sensor-01/telemetry -> value=19.32 rssi=-65 fcnt=82
[+] iot/gateway/sensor-02/telemetry -> value=53.01 rssi=-78 fcnt=82
[+] iot/gateway/sensor-03/telemetry -> value=1013.08 rssi=-78 fcnt=82
[+] iot/gateway/sensor-01/telemetry -> value=23.08 rssi=-88 fcnt=83
[+] iot/gateway/sensor-02/telemetry -> value=58.93 rssi=-77 fcnt=83
[+] iot/gateway/sensor-03/telemetry -> value=1010.95 rssi=-75 fcnt=83
[+] iot/gateway/sensor-01/telemetry -> value=22.52 rssi=-68 fcnt=84
[+] iot/gateway/sensor-02/telemetry -> value=52.78 rssi=-82 fcnt=84
[+] iot/gateway/sensor-03/telemetry -> value=1015.42 rssi=-66 fcnt=84
[+] iot/gateway/sensor-01/telemetry -> value=20.26 rssi=-68 fcnt=85
[+] iot/gateway/sensor-02/telemetry -> value=53.64 rssi=-80 fcnt=85
[+] iot/gateway/sensor-03/telemetry -> value=1017.07 rssi=-69 fcnt=85
[+] iot/gateway/sensor-01/telemetry -> value=24.72 rssi=-69 fcnt=86
[+] iot/gateway/sensor-02/telemetry -> value=50.64 rssi=-80 fcnt=86
[+] iot/gateway/sensor-03/telemetry -> value=1015.02 rssi=-91 fcnt=86
[+] iot/gateway/sensor-01/telemetry -> value=23.03 rssi=-77 fcnt=87
[+] iot/gateway/sensor-02/telemetry -> value=57.84 rssi=-71 fcnt=87
[+] iot/gateway/sensor-03/telemetry -> value=1013.38 rssi=-86 fcnt=87
[+] iot/gateway/sensor-01/telemetry -> value=22.89 rssi=-62 fcnt=88
[+] iot/gateway/sensor-02/telemetry -> value=57.33 rssi=-86 fcnt=88
[+] iot/gateway/sensor-03/telemetry -> value=1013.96 rssi=-93 fcnt=88
[+] iot/gateway/sensor-01/telemetry -> value=22.72 rssi=-61 fcnt=89
[+] iot/gateway/sensor-02/telemetry -> value=56.31 rssi=-72 fcnt=89
[+] iot/gateway/sensor-03/telemetry -> value=1010.0 rssi=-63 fcnt=89
[+] iot/gateway/sensor-01/telemetry -> value=22.09 rssi=-66 fcnt=90
[+] iot/gateway/sensor-02/telemetry -> value=50.9 rssi=-67 fcnt=90
[+] iot/gateway/sensor-03/telemetry -> value=1012.98 rssi=-89 fcnt=90
[+] iot/gateway/sensor-01/telemetry -> value=24.5 rssi=-68 fcnt=91
[+] iot/gateway/sensor-02/telemetry -> value=53.2 rssi=-66 fcnt=91
[+] iot/gateway/sensor-03/telemetry -> value=1011.88 rssi=-70 fcnt=91
[+] iot/gateway/sensor-01/telemetry -> value=22.0 rssi=-85 fcnt=92
[+] iot/gateway/sensor-02/telemetry -> value=56.38 rssi=-74 fcnt=92
[+] iot/gateway/sensor-03/telemetry -> value=1016.33 rssi=-69 fcnt=92
[+] iot/gateway/sensor-01/telemetry -> value=21.21 rssi=-83 fcnt=93
[+] iot/gateway/sensor-02/telemetry -> value=55.38 rssi=-74 fcnt=93
[+] iot/gateway/sensor-03/telemetry -> value=1013.81 rssi=-61 fcnt=93
[+] iot/gateway/sensor-01/telemetry -> value=22.17 rssi=-84 fcnt=94
[+] iot/gateway/sensor-02/telemetry -> value=51.77 rssi=-81 fcnt=94
[+] iot/gateway/sensor-03/telemetry -> value=1013.13 rssi=-94 fcnt=94
[+] iot/gateway/sensor-01/telemetry -> value=22.02 rssi=-63 fcnt=95
[+] iot/gateway/sensor-02/telemetry -> value=52.69 rssi=-74 fcnt=95
[+] iot/gateway/sensor-03/telemetry -> value=1013.55 rssi=-65 fcnt=95
[+] iot/gateway/sensor-01/telemetry -> value=21.86 rssi=-74 fcnt=96
[+] iot/gateway/sensor-02/telemetry -> value=55.18 rssi=-71 fcnt=96
[+] iot/gateway/sensor-03/telemetry -> value=1017.14 rssi=-80 fcnt=96
[+] iot/gateway/sensor-01/telemetry -> value=23.23 rssi=-90 fcnt=97
[+] iot/gateway/sensor-02/telemetry -> value=56.11 rssi=-78 fcnt=97
[+] iot/gateway/sensor-03/telemetry -> value=1016.7 rssi=-65 fcnt=97
[+] iot/gateway/sensor-01/telemetry -> value=21.32 rssi=-95 fcnt=98
[+] iot/gateway/sensor-02/telemetry -> value=57.98 rssi=-88 fcnt=98
[+] iot/gateway/sensor-03/telemetry -> value=1011.48 rssi=-84 fcnt=98
[+] iot/gateway/sensor-01/telemetry -> value=23.36 rssi=-70 fcnt=99
[+] iot/gateway/sensor-02/telemetry -> value=59.56 rssi=-83 fcnt=99
[+] iot/gateway/sensor-03/telemetry -> value=1011.9 rssi=-71 fcnt=99
[+] iot/gateway/sensor-01/telemetry -> value=23.42 rssi=-68 fcnt=100
[+] iot/gateway/sensor-02/telemetry -> value=51.31 rssi=-82 fcnt=100
[+] iot/gateway/sensor-03/telemetry -> value=1013.54 rssi=-65 fcnt=100
[+] iot/gateway/sensor-01/telemetry -> value=20.61 rssi=-87 fcnt=101
[+] iot/gateway/sensor-02/telemetry -> value=55.84 rssi=-94 fcnt=101
[+] iot/gateway/sensor-03/telemetry -> value=1012.43 rssi=-85 fcnt=101
[+] iot/gateway/sensor-01/telemetry -> value=21.77 rssi=-68 fcnt=102
[+] iot/gateway/sensor-02/telemetry -> value=52.83 rssi=-63 fcnt=102
[+] iot/gateway/sensor-03/telemetry -> value=1012.93 rssi=-60 fcnt=102
[+] iot/gateway/sensor-01/telemetry -> value=22.03 rssi=-81 fcnt=103
[+] iot/gateway/sensor-02/telemetry -> value=52.78 rssi=-78 fcnt=103
[+] iot/gateway/sensor-03/telemetry -> value=1010.13 rssi=-78 fcnt=103
[+] iot/gateway/sensor-01/telemetry -> value=21.53 rssi=-82 fcnt=104
[+] iot/gateway/sensor-02/telemetry -> value=54.11 rssi=-80 fcnt=104
[+] iot/gateway/sensor-03/telemetry -> value=1009.88 rssi=-60 fcnt=104
[+] iot/gateway/sensor-01/telemetry -> value=23.09 rssi=-89 fcnt=105
[+] iot/gateway/sensor-02/telemetry -> value=53.45 rssi=-74 fcnt=105
[+] iot/gateway/sensor-03/telemetry -> value=1010.79 rssi=-74 fcnt=105
[+] iot/gateway/sensor-01/telemetry -> value=22.88 rssi=-61 fcnt=106
[+] iot/gateway/sensor-02/telemetry -> value=53.11 rssi=-73 fcnt=106
[+] iot/gateway/sensor-03/telemetry -> value=1009.1 rssi=-80 fcnt=106
[+] iot/gateway/sensor-01/telemetry -> value=20.08 rssi=-87 fcnt=107
[+] iot/gateway/sensor-02/telemetry -> value=59.2 rssi=-78 fcnt=107
[+] iot/gateway/sensor-03/telemetry -> value=1014.94 rssi=-93 fcnt=107
[+] iot/gateway/sensor-01/telemetry -> value=23.11 rssi=-61 fcnt=108
[+] iot/gateway/sensor-02/telemetry -> value=56.96 rssi=-94 fcnt=108
[+] iot/gateway/sensor-03/telemetry -> value=1011.28 rssi=-85 fcnt=108
[+] iot/gateway/sensor-01/telemetry -> value=24.34 rssi=-91 fcnt=109
[+] iot/gateway/sensor-02/telemetry -> value=55.16 rssi=-79 fcnt=109
[+] iot/gateway/sensor-03/telemetry -> value=1015.69 rssi=-86 fcnt=109
[+] iot/gateway/sensor-01/telemetry -> value=22.52 rssi=-78 fcnt=110
[+] iot/gateway/sensor-02/telemetry -> value=57.93 rssi=-75 fcnt=110
